Week,Dates,Platform,Pillar,Title,Hook,Storyboard,Caption,Hashtags,CTA,Status,Views,Saves,LinkClicks,Notes
Неделя 1,1-7 июля,TikTok/Reels,01 Продукт,"Вот как выглядит плей-офф ЧМ — если бы его считал не FIFA, а ты","ЧМ генерирует сетку плей-офф... а твой турнир как?","Создаёшь турнир в Tournable → выбираешь формат «плей-офф» → вводишь команды → сетка строится автоматически → быстрый проход по сетке","Сетка плей-офф — 10 секунд, не полдня в экселе. Ссылка в шапке.",#чемпионатмира2026 #турнир #tournableapp #плейофф,Шапка профиля,Идея,,,,
Неделя 1,1-7 июля,TikTok,03 Боль организатора,ПОВ: ты ответственный за турнирную таблицу в дворовом чате,"ПОВ: тебя назначили вести таблицу турнира» + растерянное лицо","Фото рукописной таблицы на листке → зум на зачёркивания → кто-то в чате пишет «а почему у нас 4 очка а не 6» → ты молча закрываешь эксель → жёсткий рез → показываешь Tournable: таблица сама пересчиталась после матча","Знакомо? Один раз попробуй по-другому.",#дворовыйфутбол #футбол #турнир #tournableapp,Закреплённый комментарий,Идея,,,,
Неделя 1,1-7 июля,TikTok/Reels,01 Продукт,Пока ты бьёшь пенальти — счёт уже обновился у всех зрителей,На ЧМ есть табло. У твоего дворового турнира — тоже может быть,Телефон в руке на поле → открываешь live-табло → вбиваешь гол → сплит-скрин: у зрителя в телефоне счёт меняется в реальном времени,Live-табло без единого приложения для зрителей — просто ссылка.,#footballtiktok #liveфутбол #tournableapp,Шапка профиля,Идея,,,,
Неделя 1,1-7 июля,Instagram Carousel,02 Момент ЧМ,"Почему на ЧМ 48 команд, а в плей-офф выходят не все","Групповой этап vs плей-офф — за 30 секунд","3-4 слайда — группы распределяют команды → лучшие выходят дальше → плей-офф на вылет → «мы автоматизировали именно эту логику — для 4 команд или для 48»","Формат «Группы + плей-офф» — один из форматов Tournable. Работает для любого числа команд.",#worldcup2026 #турнир #объяснение,,Идея,,,,Можно сделать voiceover-роликом вместо carousel
Неделя 1,1-7 июля,TikTok/Threads,04 Founder,"Я сделал этот сервис, потому что задолбался считать турнир в вотсапе",Год назад я организовывал дворовый турнир и понял одну вещь,"30-45 сек прямо на камеру — история, почему начал делать Tournable, что бесило в старом способе","Так появился Tournable. Бесплатно, 1 турнир — на попробовать.",#buildinpublic #стартап #tournableapp,,Идея,,,,
Неделя 1,1-7 июля,Threads,02 Момент ЧМ,Threads: реакция на сетку,"1/8 финала ЧМ вдохновляет на сетку? Твой дворовый турнир заслуживает такую же — генерируется в Tournable за секунды.",,,,,Идея,,,,Текстовый пост без видео
Неделя 1,1-7 июля,Threads,03 Боль организатора,Threads: опрос про способ учёта,"Как вы сейчас считаете турнирную таблицу? Эксель / скрины в вотсапе / бумага / никак",,,,,Идея,,,,Опрос
Неделя 1,1-7 июля,Threads,02 Момент ЧМ,Threads: реакция на матч 1/8,"Драма на вылет — то, ради чего смотрим плей-офф. У твоего турнира такая же может быть.",,,,,Идея,,,,Публиковать в день реального матча
Неделя 1,1-7 июля,Threads,02 Момент ЧМ,Threads: прогноз,Прогноз на плей-офф ЧМ? Пишите в комментарии.,,,,,Идея,,,,
Неделя 1,1-7 июля,Stories,02 Момент ЧМ,Stories: обратный отсчёт,Обратный отсчёт до ближайшего матча плей-офф,,,,,Идея,,,,
Неделя 1,1-7 июля,Stories,02 Момент ЧМ,Stories: опрос четвертьфинал,Опрос «кто выйдет в четвертьфинал»,,,,,Идея,,,,
Неделя 1,1-7 июля,Stories,04 Founder,Stories: прогресс разработки,Скриншот прогресса разработки (что чинили/добавили на этой неделе),,,,,Идея,,,,
Неделя 1,1-7 июля,Stories,01 Продукт,Stories: GIF лимита,Быстрый GIF: как выглядит уведомление о лимите бесплатного тарифа,,,,,Идея,,,,
Неделя 2,8-11 июля,TikTok/Reels,02 Момент ЧМ,"Четвертьфинал — момент истины. У твоего турнира тоже должен быть такой момент",Осталось 8 команд. Дальше — только на вылет,"Кадры напряжения (крупный план табло счёта, отсчёт) → разворот: «твой финал может случиться уже через месяц — не через 4 года»",Запусти турнир сегодня — свой финал увидишь раньше, чем следующий ЧМ.,#чемпионатмира2026 #четвертьфинал #tournableapp,,Идея,,,,
Неделя 2,8-11 июля,TikTok/Reels,01 Продукт,"От 0 до готового расписания турнира — 1 минута, без ускорения",Без ускорения. Смотри на таймер в углу,"Реальное время создания турнира от старта до готового расписания, таймер в углу экрана, темп монтажа — «залипательный» (satisfying pacing, никакого лишнего текста)","1 минута — не маркетинговая цифра, это реальное время на видео.",#satisfying #турнир #tournableapp,,Идея,,,,
Неделя 2,8-11 июля,TikTok,03 Боль организатора,"Когда игрок спорит, что гол не засчитан",Каждый матч одно и то же,"Скетч спора о голе → «а у тебя есть, кто и когда забил?» → молчание → показ статистики матча в Tournable (голы/пасы/карточки автоматически по минутам)","Статистика матча ведётся сама — минута, игрок, тип события. Спорить не о чем.",#футбол #статистика #tournableapp,,Идея,,,,
Неделя 2,8-11 июля,Instagram Carousel,02 Момент ЧМ,5 отличий ЧМ от дворового турнира (и 1 сходство),,"1) 48 команд vs 8-16, 2) стадион на 80 000 vs школьный двор, 3) телетрансляция vs ссылка в чате, 4) судейская бригада vs «ты и свисток», 5) бюджет FIFA vs 0 тенге → последний слайд: «Сходство: оба заслуживают нормальную турнирную таблицу»",Сходство важнее различий.,#worldcup2026 #турнир #юмор,,Идея,,,,
Неделя 2,8-11 июля,TikTok/Threads,04 Founder,Что я успел построить за неделю,Короткий апдейт по продукту,"20-30 сек, что добавили/починили, честно и по-простому",Строим в открытую. Что добавить дальше — пишите.,,,Идея,,,,
Неделя 2,8-11 июля,Threads,02 Момент ЧМ,Threads: реакция на четвертьфинал,Реакция на результаты четвертьфинала + разворот на продукт,,,,,Идея,,,,
Неделя 2,8-11 июля,Threads,02 Момент ЧМ,Threads: прогноз полуфинал,"Кто выходит в полуфинал, по-вашему?",,,,,Идея,,,,
Неделя 2,8-11 июля,Threads,04 Founder,Threads: мини-кейс,Вот что чаще всего спрашивают на демо + ответ,,,,,Идея,,,,
Неделя 2,8-11 июля,Stories,02 Момент ЧМ,Stories: голосование полуфиналисты,Голосование по полуфиналистам,,,,,Идея,,,,
Неделя 2,8-11 июля,Stories,01 Продукт,Stories: тизер speed-run,Тизер ролика 7 (speed-run) с таймером,,,,,Идея,,,,
Неделя 3,12-19 июля,TikTok/Reels,02 Момент ЧМ,Финал ЧМ. А когда финал у ТВОЕГО турнира?,19 июля — финал ЧМ. Дата твоего финала пока пустая,"Атмосферные кадры финала (обратный отсчёт, эмоции) → разворот: «запусти турнир сегодня — до финала твоего турнира месяц, не 4 года»",Финал случается для тех, кто начал. Начни сегодня — бесплатно.,#финалчм #чемпионатмира2026 #tournableapp,"Явный — «создать турнир бесплатно» в шапке",Идея,,,,
Неделя 3,12-19 июля,TikTok/Reels,01 Продукт,Отчёт турнира с твоим логотипом — экспорт в один клик,ЧМ выдаёт официальную статистику. Твой турнир — тоже может,"Показ экспорта брендированного PDF/PNG отчёта — лого турнира, таблица, бомбардиры, всё готово к печати/репосту","Отчёт для команд и участников — без дизайнера, без Photoshop.",#турнир #tournableapp #отчёт,,Идея,,,,
Неделя 3,12-19 июля,Instagram/Threads (графика),02 Момент ЧМ,"Финальный день (19 июля) — «Составлено в Tournable»",,"Брендированная графика итоговой сетки плей-офф ЧМ, воссозданная в интерфейсе Tournable («вот так выглядела бы сетка финала ЧМ, если бы её строил Tournable»)",Чемпионат мира закончился. Сетку для своего — построй за 10 секунд.,#чм2026финал #worldcupfinal #tournableapp,,Идея,,,,"Подготовить шаблон заранее, публиковать в течение часа после финального свистка"
Неделя 3,12-19 июля,Instagram Carousel,04 Founder,Чемпионат мира закончился. Но футбольный сезон только начинается,,"Рекап главных моментов ЧМ → «а теперь — твой ход» → призыв создать турнир",,,,Идея,,,,"Последний пост недели, мост к неделе 4"
Неделя 3,12-19 июля,Threads,02 Момент ЧМ,Threads: реакции на полуфиналы,Реакции на оба полуфинала (14 и 15 июля) отдельными постами в день матча,,,,,Идея,,,,
Неделя 3,12-19 июля,Threads,02 Момент ЧМ,Threads: реакция на финал,Живая реакция в день финала + ссылка на графику,,,,,Идея,,,,
Неделя 3,12-19 июля,Threads,04 Founder,Threads: открытый вопрос,Как вам этот ЧМ в целом?,,,,,Идея,,,,
Неделя 3,12-19 июля,Stories,02 Момент ЧМ,Stories: прогнозы полуфинал/финал,Прогнозы на полуфинал/финал (опросы),,,,,Идея,,,,
Неделя 3,12-19 июля,Stories,02 Момент ЧМ,Stories: обратный отсчёт финал,Обратный отсчёт до финала,,,,,Идея,,,,
Неделя 3,12-19 июля,Stories,02 Момент ЧМ,Stories: публикация графики,Публикация графики итоговой сетки в Stories со свайп-ссылкой,,,,,Идея,,,,
Неделя 4,20-26 июля,TikTok/Reels,04 Founder,Сборные разъехались по домам. А твоя дворовая лига?,ЧМ бывает раз в 4 года. Твой сезон — каждую неделю,"Контраст — опустевший стадион (архивные/стоковые кадры или текст) → живой дворовый/корпоративный матч → «местный футбол не заканчивается никогда, и таблица для него нужна круглый год»",ЧМ — раз в 4 года. Твой турнир может быть хоть завтра.,#дворовыйфутбол #турнир #tournableapp,,Идея,,,,"Ключевой переходный пост, публиковать день в день 20 июля"
Неделя 4,20-26 июля,TikTok/Reels,01 Продукт,Группы + плей-офф в одном турнире — как включить,"Самый частый вопрос: можно ли сначала группы, потом на вылет?","Пошагово — выбор формата «Группы + плей-офф», настройка числа групп и количества команд, выходящих дальше","Да, можно. Показываю за минуту.",#турнир #tournableapp #туториал,,Идея,,,,
Неделя 4,20-26 июля,TikTok/Reels,04 Founder,Первый живой кейс,"Реальный турнир, реальные организаторы — не демо-данные","Скринкаст живого турнира, который ведёт реальный пилотный пользователь (с его согласия), его короткий отзыв",Первый турнир на Tournable — не наш, а ваш. Спасибо [имя/лига].,,,Идея,,,,"Публиковать как только появится пилотный пользователь — приоритет выше остального контента недели"
Неделя 4,20-26 июля,TikTok/Reels,01 Продукт,Соредактор турнира — теперь можно вдвоём,Ведёшь турнир не один? Теперь можно не по одному логину,"Добавление со-редактора, оба видят изменения в реальном времени",До 3 со-редакторов на плане Pro.,#турнир #tournableapp,,Идея,,,,
Неделя 4,20-26 июля,Threads,04 Founder,Threads: анонс после ЧМ,ЧМ закончился — но у нас тут только начинается + анонс возможностей продукта,,,,,Идея,,,,
Неделя 4,20-26 июля,Threads,04 Founder,Threads: вопрос аудитории,Какой турнир планируете в этом сезоне?,,,,,Идея,,,,
Неделя 4,20-26 июля,Stories,01 Продукт,Stories: опрос формата,Какой формат турнира вам нужен — круговой, плей-офф, группы?,,,,,Идея,,,,
Неделя 4,20-26 июля,Stories,04 Founder,Stories: тизер кейса,"Тизер поста «Первый живой кейс», если пилот уже запущен",,,,,Идея,,,,
